;ip_stride_no;ipcp_isca2020_ipcp_isca2020;ipcp_isca2020_no;mlop_dpc3_bingo_dpc3;mlop_dpc3_no;mlop_dpc3_ppf;no_no;vberti_bingo_dpc3;vberti_no;vberti_ppf;
Gemsfdtd;1.000000;1.504079;1.536570;1.621618;1.612935;1.626434;0.995585;1.589621;1.529693;1.611203;
Bwaves;1.000000;1.084840;1.083299;1.082209;1.080832;1.082618;0.698220;1.093320;1.088298;1.092542;
Cactusadm;1.000000;1.437734;1.378778;1.393293;1.369552;1.433476;0.950317;1.418586;1.384629;1.441269;
Gcc;1.000000;1.222527;1.198400;1.494837;1.306772;1.447949;0.850194;1.486298;1.373268;1.457811;
Gobmk;1.000000;1.004495;1.004188;1.005899;1.004924;1.005379;0.998948;1.004428;1.004025;1.000031;
Hmmer;1.000000;0.999285;0.999886;0.998406;0.998271;0.999689;0.996958;1.000730;1.000717;1.000712;
Namd;1.000000;1.000832;1.000597;0.999801;0.999801;0.999824;0.998870;1.000654;1.000654;1.000728;
Omnetpp;1.000000;0.891618;0.910227;0.861193;0.940972;0.925135;0.973572;0.808255;0.881990;0.844862;
Sphinx3;1.000000;1.151530;1.151359;1.263405;1.220169;1.271641;0.836339;1.298401;1.241993;1.313627;
Wrf;1.000000;1.003278;1.003201;1.006108;1.006078;1.006139;0.995886;1.005563;1.004568;1.005910;
